Iteration 1, loss = 2.33739400
Iteration 2, loss = 2.29823794
Iteration 3, loss = 2.28331950
Iteration 4, loss = 2.27149139
Iteration 5, loss = 2.26196952
Iteration 6, loss = 2.25421347
Iteration 7, loss = 2.24924993
Iteration 8, loss = 2.24014068
Iteration 9, loss = 2.23163991
Iteration 10, loss = 2.22632729
Iteration 11, loss = 2.22187309
Iteration 12, loss = 2.21409869
Iteration 13, loss = 2.21002775
Iteration 14, loss = 2.20367653
Iteration 15, loss = 2.19849994
Iteration 16, loss = 2.19400472
Iteration 17, loss = 2.18636042
Iteration 18, loss = 2.18136681
Iteration 19, loss = 2.17498633
Iteration 20, loss = 2.17055973
Iteration 21, loss = 2.17051505
Iteration 22, loss = 2.16338250
Iteration 23, loss = 2.15555385
Iteration 24, loss = 2.14904341
Iteration 25, loss = 2.14372039
Iteration 26, loss = 2.13401532
Iteration 27, loss = 2.13297955
Iteration 28, loss = 2.12636150
Iteration 29, loss = 2.11992759
Iteration 30, loss = 2.11253166
Iteration 31, loss = 2.11018045
Iteration 32, loss = 2.10166140
Iteration 33, loss = 2.09718759
Iteration 34, loss = 2.08935441
Iteration 35, loss = 2.08446865
Iteration 36, loss = 2.07944154
Iteration 37, loss = 2.07133771
Iteration 38, loss = 2.06392099
Iteration 39, loss = 2.05769894
Iteration 40, loss = 2.05403344
Iteration 41, loss = 2.05047449
Iteration 42, loss = 2.04354010
Iteration 43, loss = 2.03585442
Iteration 44, loss = 2.02781263
Iteration 45, loss = 2.02344497
Iteration 46, loss = 2.01620241
Iteration 47, loss = 2.00736532
Iteration 48, loss = 2.00802281
Iteration 49, loss = 1.99206546
Iteration 50, loss = 1.98849160
Iteration 51, loss = 1.97890560
Iteration 52, loss = 1.97855479
Iteration 53, loss = 1.97127141
Iteration 54, loss = 1.96040250
Iteration 55, loss = 1.95374649
Iteration 56, loss = 1.95085633
Iteration 57, loss = 1.94115738
Iteration 58, loss = 1.93241773
Iteration 59, loss = 1.92532046
Iteration 60, loss = 1.91880619
