Iteration 1, loss = 2.37378796
Iteration 2, loss = 2.30417849
Iteration 3, loss = 2.28544375
Iteration 4, loss = 2.26736798
Iteration 5, loss = 2.25671308
Iteration 6, loss = 2.24779671
Iteration 7, loss = 2.23417085
Iteration 8, loss = 2.22597912
Iteration 9, loss = 2.21955555
Iteration 10, loss = 2.21075270
Iteration 11, loss = 2.20220709
Iteration 12, loss = 2.19372208
Iteration 13, loss = 2.18437839
Iteration 14, loss = 2.17546523
Iteration 15, loss = 2.17074240
Iteration 16, loss = 2.16240639
Iteration 17, loss = 2.15542981
Iteration 18, loss = 2.14543346
Iteration 19, loss = 2.14165327
Iteration 20, loss = 2.13566969
Iteration 21, loss = 2.12391384
Iteration 22, loss = 2.12081988
Iteration 23, loss = 2.11217969
Iteration 24, loss = 2.10312505
Iteration 25, loss = 2.09945674
Iteration 26, loss = 2.08830013
Iteration 27, loss = 2.08706972
Iteration 28, loss = 2.07441961
Iteration 29, loss = 2.06831785
Iteration 30, loss = 2.05934659
Iteration 31, loss = 2.04971668
Iteration 32, loss = 2.04329836
Iteration 33, loss = 2.04066594
Iteration 34, loss = 2.03064887
Iteration 35, loss = 2.01654789
Iteration 36, loss = 2.01045776
Iteration 37, loss = 2.00498622
Iteration 38, loss = 1.99178335
Iteration 39, loss = 1.99073705
Iteration 40, loss = 1.97589950
Iteration 41, loss = 1.97007470
Iteration 42, loss = 1.96615468
Iteration 43, loss = 1.95187641
Iteration 44, loss = 1.93932749
Iteration 45, loss = 1.93152737
Iteration 46, loss = 1.91997496
Iteration 47, loss = 1.92444846
Iteration 48, loss = 1.90584820
Iteration 49, loss = 1.89485046
Iteration 50, loss = 1.88917388
Iteration 51, loss = 1.87719887
Iteration 52, loss = 1.87690389
Iteration 53, loss = 1.85854527
Iteration 54, loss = 1.85301949
Iteration 55, loss = 1.84055593
Iteration 56, loss = 1.83348493
Iteration 57, loss = 1.82564136
Iteration 58, loss = 1.81116341
Iteration 59, loss = 1.80922809
Iteration 60, loss = 1.79493897
Iteration 61, loss = 1.77564721
Iteration 62, loss = 1.77119532
Iteration 63, loss = 1.75411055
Iteration 64, loss = 1.75146486
Iteration 65, loss = 1.73958781
Iteration 66, loss = 1.73274307
Iteration 67, loss = 1.72350878
Iteration 68, loss = 1.71557216
Iteration 69, loss = 1.70099373
Iteration 70, loss = 1.69020128
Iteration 71, loss = 1.67793766
Iteration 72, loss = 1.66453774
Iteration 73, loss = 1.66167732
Iteration 74, loss = 1.65931006
Iteration 75, loss = 1.63657272
Iteration 76, loss = 1.62777413
Iteration 77, loss = 1.61769722
Iteration 78, loss = 1.60622680
Iteration 79, loss = 1.59764687
Iteration 80, loss = 1.58914455
Iteration 81, loss = 1.58290210
Iteration 82, loss = 1.56519066
Iteration 83, loss = 1.55009255
Iteration 84, loss = 1.53943893
Iteration 85, loss = 1.53370983
Iteration 86, loss = 1.53010014
Iteration 87, loss = 1.51549930
Iteration 88, loss = 1.49384605
Iteration 89, loss = 1.49010415
Iteration 90, loss = 1.47528781
Iteration 91, loss = 1.46846173
Iteration 92, loss = 1.45720310
Iteration 93, loss = 1.44419513
Iteration 94, loss = 1.43986100
Iteration 95, loss = 1.42740738
Iteration 96, loss = 1.41337585
Iteration 97, loss = 1.40527565
Iteration 98, loss = 1.39270446
Iteration 99, loss = 1.38928456
