Loading training set: 74.6508369446 seconds
Iteration 1, loss = 4.20848304
Iteration 2, loss = 4.18626725
Iteration 3, loss = 4.17106079
Iteration 4, loss = 4.16389486
Iteration 5, loss = 4.15690310
Iteration 6, loss = 4.15198498
Iteration 7, loss = 4.14927290
Iteration 8, loss = 4.14453100
Iteration 9, loss = 4.14178469
Iteration 10, loss = 4.13816826
Iteration 11, loss = 4.13786566
Iteration 12, loss = 4.13387711
Iteration 13, loss = 4.13166901
Iteration 14, loss = 4.13008440
Iteration 15, loss = 4.12797579
Iteration 16, loss = 4.12555152
Iteration 17, loss = 4.12333245
Iteration 18, loss = 4.12144661
Iteration 19, loss = 4.11905090
Iteration 20, loss = 4.11744508
Iteration 21, loss = 4.11586391
Iteration 22, loss = 4.11330263
Iteration 23, loss = 4.11118855
Iteration 24, loss = 4.11002018
Iteration 25, loss = 4.10835691
Iteration 26, loss = 4.10769604
Iteration 27, loss = 4.10419176
Iteration 28, loss = 4.10315171
Iteration 29, loss = 4.10028225
Iteration 30, loss = 4.09870127
Iteration 31, loss = 4.09693086
Iteration 32, loss = 4.09428997
Iteration 33, loss = 4.09251297
Iteration 34, loss = 4.09156610
Iteration 35, loss = 4.08860913
Iteration 36, loss = 4.08682636
Iteration 37, loss = 4.08451834
Iteration 38, loss = 4.08245731
Iteration 39, loss = 4.08178268
Iteration 40, loss = 4.07824020
Iteration 41, loss = 4.07656823
Iteration 42, loss = 4.07468988
Iteration 43, loss = 4.07162657
Iteration 44, loss = 4.06969027
Iteration 45, loss = 4.06621382
Iteration 46, loss = 4.06442092
Iteration 47, loss = 4.06180737
Iteration 48, loss = 4.06000720
Iteration 49, loss = 4.05743357
Iteration 50, loss = 4.05532145
Iteration 51, loss = 4.05408814
Iteration 52, loss = 4.04968722
Iteration 53, loss = 4.04761054
Iteration 54, loss = 4.04474987
Iteration 55, loss = 4.04261786
Iteration 56, loss = 4.03974758
Iteration 57, loss = 4.03692583
Iteration 58, loss = 4.03376321
Iteration 59, loss = 4.03158003
Iteration 60, loss = 4.02828615
Iteration 61, loss = 4.02589772
Iteration 62, loss = 4.02570586
Iteration 63, loss = 4.02026320
Iteration 64, loss = 4.01866890
Iteration 65, loss = 4.01538862
Iteration 66, loss = 4.01264337
Iteration 67, loss = 4.00859880
Iteration 68, loss = 4.00457090
Iteration 69, loss = 4.00132001
Iteration 70, loss = 3.99917303
Iteration 71, loss = 3.99601813
Iteration 72, loss = 3.99380728
Iteration 73, loss = 3.98989766
Iteration 74, loss = 3.98643346
Iteration 75, loss = 3.98291563
Iteration 76, loss = 3.97945950
Iteration 77, loss = 3.97647325
Iteration 78, loss = 3.97237808
Iteration 79, loss = 3.96997435
Iteration 80, loss = 3.96597087
Iteration 81, loss = 3.96488671
Iteration 82, loss = 3.96009096
Iteration 83, loss = 3.95649364
Iteration 84, loss = 3.95290691
Iteration 85, loss = 3.94985378
Iteration 86, loss = 3.94826343
Iteration 87, loss = 3.94259779
Iteration 88, loss = 3.93839499
Iteration 89, loss = 3.93500563
Iteration 90, loss = 3.93106016
Iteration 91, loss = 3.92693473
Iteration 92, loss = 3.92403577
Iteration 93, loss = 3.92009202
Iteration 94, loss = 3.91554688
Iteration 95, loss = 3.91240946
Iteration 96, loss = 3.90854504
Iteration 97, loss = 3.90426446
Iteration 98, loss = 3.90005691
Iteration 99, loss = 3.89558624
Iteration 100, loss = 3.89165983
Iteration 101, loss = 3.88670695
Iteration 102, loss = 3.88469937
Iteration 103, loss = 3.87891184
Iteration 104, loss = 3.87464182
Iteration 105, loss = 3.87113810
Iteration 106, loss = 3.86576299
Iteration 107, loss = 3.86193242
Iteration 108, loss = 3.85746223
Iteration 109, loss = 3.85507317
Iteration 110, loss = 3.85081935
Iteration 111, loss = 3.84430865
Iteration 112, loss = 3.84024615
Iteration 113, loss = 3.83590051
Iteration 114, loss = 3.83233355
Iteration 115, loss = 3.82685851
Iteration 116, loss = 3.82328864
Iteration 117, loss = 3.81693416
Iteration 118, loss = 3.81192712
Iteration 119, loss = 3.80904279
